user,yold,trial,selection,cue_a,cue_b,pos_a,pos_b,success,reward,time,reverse
tte,21,1,0,2,0,1,3,0,0,2612,51
tte,21,2,3,3,0,1,2,1,1,2478,51
tte,21,3,2,2,1,1,3,1,0,1477,51
